timestamp,proyecto_o_repo,ruta_relativa,numero_linea,tipo_hallazgo,fragmento_original,texto_reemplazado,estado
2026-09-14T13:32:00+02:00,varnatir-web-v3,assets/brand/varnatir_logo_horizontal.svg,N/A,nombre_archivo,varnatir_logo_horizontal.svg,valnatir_logo_horizontal.svg (ya existente; residual para rm),preparado_script
2026-09-14T13:32:00+02:00,varnatir-web-v3,assets/images/varnatir_hero_ui.png,N/A,nombre_archivo,varnatir_hero_ui.png,valnatir_hero_ui.png (ya existente; residual para rm),preparado_script
2026-09-14T13:32:00+02:00,varnatir-web-v3,assets/images/varnatir_mobile_motion.png,N/A,nombre_archivo,varnatir_mobile_motion.png,valnatir_mobile_motion.png (ya existente; residual para rm),preparado_script
2026-09-14T13:33:50+02:00,varnatir-web-v3,sitemap.xml,N/A,sitemap,Inexistente,Generado canónico valnatir.com (26 URLs EN/ES),generado_artifact
2026-09-14T13:25:26+02:00,varnatir-web-v2,(global contenidos),N/A,contenido,0 ocurrencias en contenidos de ficheros,N/A,limpio
2026-09-14T13:24:18+02:00,varnatir-web-v2,assets/brand/varnatir_isotipo.svg,N/A,nombre_archivo,varnatir_isotipo.svg,valnatir_isotipo.svg (ya existente; residual para rm),preparado_script
2026-09-14T13:24:18+02:00,varnatir-web-v2,assets/brand/varnatir_isotipo_white.svg,N/A,nombre_archivo,varnatir_isotipo_white.svg,valnatir_isotipo_white.svg (ya existente; residual para rm),preparado_script
2026-09-14T13:24:18+02:00,varnatir-web-v2,assets/brand/varnatir_logo_horizontal.svg,N/A,nombre_archivo,varnatir_logo_horizontal.svg,valnatir_logo_horizontal.svg (ya existente; residual para rm),preparado_script
2026-09-14T13:24:18+02:00,varnatir-web-v2,assets/images/varnatir_hero_ui.png,N/A,nombre_archivo,varnatir_hero_ui.png,valnatir_hero_ui.png (ya existente; residual para rm),preparado_script
2026-09-14T13:24:18+02:00,varnatir-web-v2,assets/images/varnatir_mobile_motion.png,N/A,nombre_archivo,varnatir_mobile_motion.png,valnatir_mobile_motion.png (ya existente; residual para rm),preparado_script
2026-09-14T13:25:33+02:00,varnatir-web,(global contenidos y estructura),N/A,contenido,0 ocurrencias en contenidos y estructura,N/A,limpio
2026-09-14T13:25:42+02:00,MCCP,(global contenidos y estructura),N/A,contenido,0 ocurrencias en contenidos y estructura,N/A,limpio
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_CATA_HOME.csv,N/A,nombre_archivo,MATRIZ_COPYS_MCCP_VARNATIR_CATA_HOME.csv,MATRIZ_COPYS_MCCP_VALNATIR_CATA_HOME.csv,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_CATA_HOME.xlsx,N/A,nombre_archivo,MATRIZ_COPYS_MCCP_VARNATIR_CATA_HOME.xlsx,MATRIZ_COPYS_MCCP_VALNATIR_CATA_HOME.xlsx,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_HOME_ES.csv,N/A,nombre_archivo,MATRIZ_COPYS_MCCP_VARNATIR_HOME_ES.csv,MATRIZ_COPYS_MCCP_VALNATIR_HOME_ES.csv,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_HOME_ES.xlsx,N/A,nombre_archivo,MATRIZ_COPYS_MCCP_VARNATIR_HOME_ES.xlsx,MATRIZ_COPYS_MCCP_VALNATIR_HOME_ES.xlsx,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA.csv,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA.csv,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA.csv,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA.xlsx,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA.xlsx,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA.xlsx,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v1.csv,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v1.csv,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v1.csv,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v1.xlsx,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v1.xlsx,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v1.xlsx,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.csv,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.csv,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v2.csv,preparado_script
2026-09-14T13:24:28+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.xlsx,N/A,nombre_archivo,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.xlsx,MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v2.xlsx,preparado_script
2026-09-14T13:25:35+02:00,mccp-web-editorial,FEEDBACK_CLIENTE_VALNATIR.md,33,contenido,"Arquitectura VARNATIR (Control de Vuelo Activo)","Arquitectura VALNATIR (Control de Vuelo Activo)",preparado_script
2026-09-14T13:25:35+02:00,mccp-web-editorial,FEEDBACK_CLIENTE_VALNATIR.md,37,contenido,"el filtro activo de VARNATIR evalúa cada interacción","el filtro activo de VALNATIR evalúa cada interacción",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_EXCEL_V2_AGY.md,4,contenido,"Matriz Maestra de Contenidos de **VARNATIR / MCCP**","Matriz Maestra de Contenidos de **VALNATIR / MCCP**",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_EXCEL_V2_AGY.md,24,contenido,"`VARNATIR`","`VALNATIR`",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_EXCEL_V2_AGY.md,51,contenido,"el logotipo VARNATIR","el logotipo VALNATIR",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_EXCEL_V2_AGY.md,75,contenido,"MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.csv","MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v2.csv",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_EXCEL_V2_AGY.md,79,contenido,"MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.xlsx","MATRIZ_MAESTRA_COPYS_MCCP_VALNATIR_COMPLETA_v2.xlsx",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_WEB_V4_AGY.md,1,contenido,"ACTUALIZACIÓN DE NAVEGACIÓN WEB VARNATIR A V4","ACTUALIZACIÓN DE NAVEGACIÓN WEB VALNATIR A V4",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,PLAN_ACTUALIZACION_WEB_V4_AGY.md,4,contenido,"sitio web (`varnatir-web-v3`)","sitio web (`valnatir-web-v3`)",preparado_script
2026-09-14T13:27:52+02:00,mccp-web-editorial,06-BLOQUE-EL-PARADIGMA.md,35,contenido,"VARNATIR interviene **antes** de la entrega","VALNATIR interviene **antes** de la entrega",preparado_script
2026-09-14T13:27:52+02:00,mccp-web-editorial,08-BLOQUE-ARQUITECTURA-CISO.md,39,contenido,"Mitigación Arquitectural VARNATIR","Mitigación Arquitectural VALNATIR",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,TRIANGULACION_CALIDAD_COPYS_v2.md,3,contenido,"sitemap en español de **VARNATIR / MCCP**","sitemap en español de **VALNATIR / MCCP**",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,TRIANGULACION_CALIDAD_COPYS_v2.md,56-60,contenido,"5 referencias a ficheros MATRIZ_*VARNATIR*","5 referencias a ficheros MATRIZ_*VALNATIR*",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,TRIANGULACION_CALIDAD_COPYS.md,3,contenido,"sitemap en español de **VARNATIR / MCCP**","sitemap en español de **VALNATIR / MCCP**",preparado_script
2026-09-14T13:27:49+02:00,mccp-web-editorial,TRIANGULACION_CALIDAD_COPYS.md,56-60,contenido,"5 referencias a ficheros MATRIZ_*VARNATIR*","5 referencias a ficheros MATRIZ_*VALNATIR*",preparado_script
2026-09-14T13:28:46+02:00,mccp-web-editorial,HOJA_FEEDBACK_NORMALIZADA.tsv,3,contenido,"Arquitectura VARNATIR (Control de Vuelo Activo)","Arquitectura VALNATIR (Control de Vuelo Activo)",preparado_script
2026-09-14T13:28:46+02:00,mccp-web-editorial,HOJA_FEEDBACK_NORMALIZADA.tsv,7,contenido,"filtro activo de VARNATIR","filtro activo de VALNATIR",preparado_script
2026-09-14T13:27:54+02:00,mccp-web-editorial,index_es.html,7-1148,contenido,27 ocurrencias VARNATIR/varnatir,27 sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:27:57+02:00,mccp-web-editorial,index_en.html,7-1085,contenido,26 ocurrencias VARNATIR/varnatir,26 sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:27:54+02:00,mccp-web-editorial,preview_menu_navigation.html,6-4117,contenido,170+ ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:29+02:00,mccp-web-editorial,review-mode.js,2-584,contenido,35 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:29+02:00,mccp-web-editorial,styles.css,2-3308,contenido,3 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:35+02:00,mccp-web-editorial,generate_clean_es_matrix.py,27-2518,contenido,30+ ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:35+02:00,mccp-web-editorial,generate_complete_workbook.py,9-251,contenido,2 ocurrencias MATRIZ_*VARNATIR*,Sustituciones MATRIZ_*VALNATIR*,preparado_script
2026-09-14T13:28:35+02:00,mccp-web-editorial,triangulate_master_matrix.py,79-254,contenido,8 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:35+02:00,mccp-web-editorial,build_full_master_workbook.py,300-301,contenido,2 ocurrencias MATRIZ_*VARNATIR*,Sustituciones MATRIZ_*VALNATIR*,preparado_script
2026-09-14T13:28:38+02:00,mccp-web-editorial,build_full_matrix.py,72-1296,contenido,10 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:35+02:00,mccp-web-editorial,parse_user_stream.py,4-71,contenido,20+ ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:42+02:00,mccp-web-editorial,generate_preview_page.py,8-339,contenido,3 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:28:51+02:00,mccp-web-editorial,cache_pages_es/*.html,Varios,contenido,120+ ocurrencias residuales de pre-rebranding en 13 páginas de caché,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:25:36+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_CATA_HOME.csv,1-583,contenido,583 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:25:36+02:00,mccp-web-editorial,MATRIZ_COPYS_MCCP_VARNATIR_HOME_ES.csv,1-40,contenido,40 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:25:36+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA.csv,1-612,contenido,612 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:25:36+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v1.csv,1-595,contenido,595 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
2026-09-14T13:25:36+02:00,mccp-web-editorial,MATRIZ_MAESTRA_COPYS_MCCP_VARNATIR_COMPLETA_v2.csv,1-612,contenido,612 ocurrencias VARNATIR/varnatir,Sustituciones canónicas VALNATIR/valnatir,preparado_script
